player_id,transfer_date,transfer_season,from_club_id,to_club_id,from_club_name,to_club_name,transfer_fee,market_value_in_eur,premium_discount_pct,player_name
380350,2025-09-01,25/26,1237,379,Brighton,West Ham,$0.00,"$20,000,000.00",-100.00%,Igor Julio
388165,2025-09-01,25/26,1148,762,Brentford,Newcastle,"$57,700,000.00","$32,000,000.00",80.31%,Yoane Wissa
401173,2025-09-01,25/26,985,405,Man Utd,Aston Villa,$0.00,"$28,000,000.00",-100.00%,Jadon Sancho
401922,2025-09-01,25/26,5,931,AC Milan,Fulham,$0.00,"$10,000,000.00",-100.00%,Samuel Chukwueze
420210,2025-09-01,25/26,23826,289,Leipzig,Sunderland,$0.00,"$20,000,000.00",-100.00%,Lutsharel Geertruida
473169,2025-09-01,25/26,610,289,Ajax,Sunderland,"$20,000,000.00","$22,000,000.00",-9.09%,Brian Brobbey
482836,2025-09-01,25/26,540,641,Slo. Bratislava,Middlesbrough,"$7,500,000.00","$8,000,000.00",-6.25%,David Strelec
491707,2025-09-01,25/26,234,1003,Feyenoord,Leicester,$0.00,"$5,000,000.00",-100.00%,Julián Carranza
503883,2025-09-01,25/26,1096,985,Royal Antwerp,Man Utd,"$21,000,000.00","$9,000,000.00",133.33%,Senne Lammens
565822,2025-09-01,25/26,31,405,Liverpool,Aston Villa,$0.00,"$30,000,000.00",-100.00%,Harvey Elliott
581672,2025-09-01,25/26,405,984,Aston Villa,West Brom,$0.00,"$10,000,000.00",-100.00%,Samuel Iling-Junior
608832,2025-09-01,25/26,60,29,Freiburg,Everton,$0.00,"$12,000,000.00",-100.00%,Merlin Röhl
646658,2025-09-01,25/26,1132,1003,Burnley,Leicester,$0.00,"$10,000,000.00",-100.00%,Aaron Ramsey
659813,2025-09-01,25/26,15,11,Leverkusen,Arsenal,$0.00,"$50,000,000.00",-100.00%,Piero Hincapié
667517,2025-09-01,25/26,273,1003,Stade Rennais,Leicester,$0.00,"$8,000,000.00",-100.00%,Jordan James
683571,2025-09-01,25/26,1184,543,Genk,Wolves,"$26,000,000.00","$18,000,000.00",44.44%,Tolu Arokodare
804219,2025-09-01,25/26,2036,180,Heidenheim,Southampton,"$9,000,000.00","$3,000,000.00",200.00%,Léo Scienza
900195,2025-09-01,25/26,660,931,Shakhtar D.,Fulham,"$40,000,000.00","$12,000,000.00",233.33%,Kevin
938158,2025-09-01,25/26,289,631,Sunderland,Chelsea,$0.00,"$8,000,000.00",-100.00%,Marc Guiu
983989,2025-09-01,25/26,1237,631,Brighton,Chelsea,$0.00,"$20,000,000.00",-100.00%,Facundo Buonanotte
1006411,2025-09-01,25/26,415,873,Toulouse,Crystal Palace,"$23,000,000.00","$4,000,000.00",475.00%,Jaydee Canvot
1069512,2025-09-01,25/26,27,931,Bayern Munich,Fulham,$0.00,"$2,500,000.00",-100.00%,Jonah Kusi-Asare
1124005,2025-09-01,25/26,3709,873,Getafe,Crystal Palace,$0.00,"$15,000,000.00",-100.00%,Christantus Uche
490967,2025-08-31,25/26,157,164,KAA Gent,Blackburn,"$2,200,000.00","$2,000,000.00",10.00%,Andri Gudjohnsen
455661,2025-08-30,25/26,79,762,Stuttgart,Newcastle,"$75,000,000.00","$30,000,000.00",150.00%,Nick Woltemade
728679,2025-08-30,25/26,377,512,Banik Ostrava,Stoke City,"$4,000,000.00","$4,000,000.00",0.00%,Tomas Rigo
811779,2025-08-30,25/26,985,631,Man Utd,Chelsea,"$46,200,000.00","$45,000,000.00",2.67%,Alejandro Garnacho
480723,2025-08-29,25/26,641,180,Middlesbrough,Southampton,"$13,900,000.00","$16,000,000.00",-13.13%,Finn Azaz
568157,2025-08-29,25/26,1050,873,Villarreal,Crystal Palace,"$30,000,000.00","$30,000,000.00",0.00%,Yéremy Pino
745181,2025-08-29,25/26,162,379,Monaco,West Ham,"$17,000,000.00","$12,000,000.00",41.67%,Soungoutou Magassa
880245,2025-08-29,25/26,180,379,Southampton,West Ham,"$44,000,000.00","$15,000,000.00",193.33%,Mateus Fernandes
345911,2025-08-28,25/26,12321,543,Girona,Wolves,$0.00,"$12,000,000.00",-100.00%,Ladislav Krejci
480987,2025-08-28,25/26,989,984,Bournemouth,West Brom,"$1,150,000.00","$6,000,000.00",-80.83%,Chris Mepham
250478,2025-08-27,25/26,762,641,Newcastle,Middlesbrough,$0.00,"$5,000,000.00",-100.00%,Matt Targett
679903,2025-08-25,25/26,255,164,Legia Warszawa,Blackburn,"$2,100,000.00","$3,000,000.00",-30.00%,Ryoya Morishita
866655,2025-08-25,25/26,180,29,Southampton,Everton,"$40,500,000.00","$25,000,000.00",62.00%,Tyler Dibling
662332,2025-08-24,25/26,1467,180,Göztepe,Southampton,$0.00,"$2,500,000.00",-100.00%,Juan
479999,2025-08-23,25/26,873,11,Crystal Palace,Arsenal,"$69,300,000.00","$55,000,000.00",26.00%,Eberechi Eze
391005,2025-08-21,25/26,1148,180,Brentford,Southampton,"$3,460,000.00","$6,000,000.00",-42.33%,Mads Roerslev
848509,2025-08-19,25/26,276,543,Hellas Verona,Wolves,"$12,500,000.00","$8,000,000.00",56.25%,Jackson Tchatchoua
911736,2025-08-19,25/26,281,641,Man City,Middlesbrough,$0.00,"$15,000,000.00",-100.00%,Sverre Nypan
348026,2025-08-17,25/26,583,289,PSG,Sunderland,"$12,000,000.00","$10,000,000.00",20.00%,Nordi Mukiele
503749,2025-08-17,25/26,405,762,Aston Villa,Newcastle,"$45,150,000.00","$32,000,000.00",41.09%,Jacob Ramsey
215810,2025-08-15,25/26,543,29,Wolves,Everton,,"$200,000.00",-100.00%,Tom King
654253,2025-08-15,25/26,985,984,Man Utd,West Brom,$0.00,"$5,000,000.00",-100.00%,Toby Collyer
1086619,2025-08-15,25/26,130,31,Parma,Liverpool,"$29,450,000.00","$18,000,000.00",63.61%,Giovanni Leoni
353479,2025-08-13,25/26,1045,355,Notts County,Bolton,$0.00,"$150,000.00",-100.00%,Tyler Miller
203460,2025-08-12,25/26,281,29,Man City,Everton,$0.00,"$28,000,000.00",-100.00%,Jack Grealish
353032,2025-08-12,25/26,3709,289,Getafe,Sunderland,"$11,600,000.00","$8,000,000.00",45.00%,Omar Alderete
521964,2025-08-12,25/26,5,762,AC Milan,Newcastle,"$35,000,000.00","$18,000,000.00",94.44%,Malick Thiaw
